Academic_Year_Starting_In,Public_Four_Year_Current_Dollars,Public_Four_Year_2014_Dollars
1971,428,2505
1972,503,2860
1973,514,2764
1974,512,2469
1975,542,2383
1976,617,2574
1977,655,2558
1978,688,2495
1979,738,2405
1980,804,2316
1981,909,2364
1982,1031,2519
1983,1148,2738
1984,1228,2810
1985,1318,2913
1986,1414,3077
1987,1485,3109
1988,1578,3173
1989,1696,3248
1990,1908,3486
1991,2107,3686
1992,2334,3958
1993,2535,4183
1994,2705,4343
1995,2811,4392
1996,2975,4515
1997,3111,4618
1998,3247,4740
1999,3362,4805
2000,3508,4837
2001,3766,5055
2002,4098,5421
2003,4645,6018
2004,5126,6448
2005,5492,6696
2006,5804,6795
2007,6191,7081
2008,6599,7148
2009,7073,7825
2010,7629,8337
2011,8276,8728
2012,8646,8991
2013,8885,9062
2014,9139,9139
