State, Cost, Region
Alabama,9470.00,South
Alaska,6138.00,Pacific
Arizona,10398.00,West
Arkansas,7567.00,South
California,9173.00,West
Colorado,9487.00,West
Connecticut,10620.00,Northeast
Delaware,11448.00,South
District of Columbia,7516.00,South
Florida,6351.00,South
Georgia,8094.00,South
Hawaii,9740.00,Pacific
Idaho,6602.00,West
Illinois,12770.00,Midwest
Indiana,9023.00,Midwest
Iowa,7857.00,Midwest
Kansas,8086.00,Midwest
Kentucky,9188.00,South
Louisiana,7314.00,South
Maine,9422.00,Northeast
Maryland,8724.00,South
Massachusetts,10951.00,Northeast
Michigan,11909.00,Midwest
Minnesota,10527.00,Midwest
Mississippi,6861.00,South
Missouri,8383.00,Midwest
Montana,6279.00,West
Nebraska,7404.00,Midwest
Nevada,6418.00,West
New Hampshire,14712.00,Northeast
New Jersey,13002.00,Northeast
New Mexico,6190.00,West
New York,7292.00,Northeast
North Carolina,6677.00,South
North Dakota,7513.00,Midwest
Ohio,10100.00,Midwest
Oklahoma,6895.00,South
Oregon,8932.00,West
Pennsylvania,13246.00,Northeast
Rhode Island,10934.00,Northeast
South Carolina,11449.00,South
South Dakota,7653.00,Midwest
Tennessee,8541.00,South
Texas,8830.00,South
Utah,6177.00,West
Vermont,14419.00,Northeast
Virginia,10899.00,South
Washington,10846.00,West
West Virginia,6661.00,South
Wisconsin,8781.00,Midwest
Wyoming,4646.00,West
